                                                                                                                                                                                                                                                           LR Parsing Table                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
||       ||      Semicolon       |       Integer        |          $           |        Error         |   LeftParenthesis    |    PrintFunction     |   RightParenthesis   |         Plus         |        Comma         |        Minus         |       Multiply       |        Divide        |        Power         |        String        |          2           |    ExpressionList    |       Program        |  ExpressionListNext  |      Statements      |       Constant       |      Statement       |      Expression      ||
||  27   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  28   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          58          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  29   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          57          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  30   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          56          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  31   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          34          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  32   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |     S[33,-1]R[3]     |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  33   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  34   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |         R[3]         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  35   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          43          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  36   ||        Empty         |       S[10,-1]       |        Empty         |       S[38,-1]       |       S[22,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[21,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          23          |          -           |          39          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  37   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  38   ||        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |       S[42,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  39   ||        Empty         |        Empty         |        Empty         |       S[41,-1]       |        Empty         |        Empty         |       S[40,-1]       |       S[28,-1]       |        Empty         |       S[30,-1]       |       S[26,-1]       |       S[31,-1]       |       S[29,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  40   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  41   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |       S[33,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  42   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  43   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  44   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          55          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  45   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          54          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  46   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          53          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  47   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          52          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  48   ||        Empty         |       S[10,-1]       |        Empty         |        Empty         |       S[36,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |       S[35,-1]       |        Empty         |        Empty         |        Empty         |       S[11,-1]       |       S[12,-1]       |          -           |          -           |          -           |          -           |          37          |          -           |          51          ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  49   ||        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |       S[50,-1]       |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  50   ||        Empty         |        Empty         |         R[3]         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
||  51   ||        Empty         |        Empty         |         R[3]         |       S[49,-1]       |        Empty         |        Empty         |        Empty         |       S[44,-1]       |        Empty         |       S[46,-1]       |       S[47,-1]       |       S[48,-1]       |       S[45,-1]       |        Empty         |        Empty         |          -           |          -           |          -           |          -           |          -           |          -           |          -           ||
||-------||----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------||
